workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
2,11,2,8,0,4,1,39,2,47,265097,9,4386,0,40
4,11,6,1,4,4,0,39,1,69,192660,9,0,0,20
6,6,6,8,1,4,0,39,1,58,301568,5,0,0,40
4,11,4,1,3,4,0,39,0,20,275190,9,0,0,40
4,15,2,12,0,4,1,39,0,31,127215,10,0,0,40
5,10,2,10,0,4,1,39,2,52,334273,16,99999,0,65
4,4,4,3,3,4,1,0,0,27,169958,3,0,0,40
4,14,2,10,0,4,1,39,2,38,200818,15,0,0,40
4,15,0,8,1,2,0,6,1,33,292603,10,0,0,30
4,7,4,1,1,2,0,39,1,21,212213,12,0,0,40
4,1,4,5,3,4,0,39,1,17,194517,7,0,0,18
4,11,4,12,3,4,0,39,0,38,204756,9,0,0,40
4,4,0,7,1,4,0,26,1,41,281725,3,0,0,40
4,15,4,4,1,4,1,39,0,41,116103,10,0,0,50
5,10,2,4,0,1,1,36,2,61,98350,16,0,0,40
4,0,4,7,2,1,1,40,0,30,176123,6,0,0,40
4,8,0,10,4,4,1,39,0,40,235371,11,0,0,40
4,15,4,7,1,4,0,39,0,37,114765,10,0,0,40
4,11,2,3,0,4,1,39,0,33,125856,9,0,0,40
4,7,4,10,1,4,0,39,2,29,236436,12,8614,0,40
1,7,4,1,1,4,1,39,0,34,143766,12,0,0,40
4,15,4,4,3,4,0,39,1,33,226629,10,0,0,40
2,11,2,14,0,2,1,39,1,33,177216,9,0,0,40
2,7,4,4,1,4,1,39,0,41,352056,12,0,0,40
4,11,2,4,0,4,1,39,2,42,136986,9,0,0,35
4,11,2,7,5,4,0,39,1,33,145402,9,0,0,35
4,15,2,3,5,4,0,39,0,33,258498,10,0,0,60
4,12,2,4,0,4,1,2,2,33,192002,14,7298,0,60
4,6,4,8,4,4,1,26,0,21,455361,5,0,0,35
4,15,4,6,1,4,1,31,1,22,172496,10,0,0,40
2,3,6,6,4,2,1,39,0,58,156649,2,0,0,40
4,9,3,4,1,4,0,39,3,47,177858,13,27828,0,60
4,15,4,1,4,2,0,39,0,22,138504,10,0,0,30
2,15,2,11,0,2,1,39,0,23,203078,10,0,0,40
4,9,2,12,0,4,1,39,0,39,129597,13,3464,0,40
4,11,2,4,0,4,1,39,3,40,155972,9,7688,0,55
4,15,4,1,3,3,0,39,0,20,166527,10,0,0,20
