workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
5,15,2,12,0,4,0,39,2,41,232207,1,15,0,40
4,15,4,3,4,4,0,38,0,41,166828,13,2,0,32
4,15,2,4,3,4,0,39,1,53,97198,4,53,1,39
4,12,2,1,1,2,0,0,0,27,172036,11,24,1,31
0,9,2,0,0,4,1,39,2,52,34321,14,25,1,40
0,15,2,4,1,4,1,39,0,52,176966,10,27,1,33
4,15,4,1,1,3,1,8,0,41,170865,10,23,0,40
7,15,4,1,4,4,0,39,0,41,108996,6,6,0,46
4,2,2,7,5,4,1,39,3,41,171263,13,17,0,48
4,15,4,10,1,4,1,39,0,53,104385,4,87247,2,16
0,11,2,1,1,4,1,39,0,28,221806,10,26,1,40
4,15,4,4,0,4,1,23,0,53,308622,3,34,1,46
6,15,0,12,3,2,0,39,0,41,100285,7,5628,0,14
4,0,2,6,3,4,1,39,0,53,110731,10,100,1,17
4,15,6,0,0,4,1,39,0,53,178833,1,27,1,40
0,9,6,0,1,4,1,11,1,67,169462,8,21,0,40
4,15,0,8,4,4,1,26,0,27,216358,11,29,0,47
4,9,2,4,4,4,1,39,0,41,234878,9,40,1,40
4,10,2,3,1,1,0,39,1,52,38473,10,32,0,40
4,7,4,4,1,4,1,39,0,41,103125,10,20,1745,46
4,0,2,1,3,3,0,39,3,64,181350,10,36,1,47
4,15,2,0,1,4,0,39,1,67,180794,13,18,0,19
4,9,2,13,0,4,1,39,0,62,46558,10,76,1801,40
4,15,2,13,0,4,0,39,2,52,185806,13,42,1806,39
5,9,5,10,4,4,1,39,0,64,40378,14,38,1,32
6,8,2,4,0,4,0,39,0,64,163715,4,45,1,15
4,1,0,13,0,4,1,39,0,53,215795,11,45,0,39
4,15,2,10,0,1,1,39,2,28,288044,10,12721,0,40
4,0,0,1,5,4,1,39,3,28,214338,10,64,1775,40
4,15,2,11,3,4,1,19,0,28,215112,10,41,1,47
4,15,0,7,1,2,1,39,0,64,98198,13,45,1816,47
0,4,2,12,4,4,1,39,3,53,103400,10,60,0,32
6,9,0,8,0,4,1,39,0,53,239505,10,46,1774,15
4,0,6,8,0,4,1,39,2,53,170228,10,5514,2,48
4,15,4,4,0,4,1,39,0,51,87277,14,90387,1,31
4,9,2,1,0,4,1,39,0,65,46719,10,0,0,32
4,12,2,1,3,4,0,39,0,28,236287,10,13185,1,51
4,4,2,3,5,4,1,39,0,42,217480,10,5616,1738,47
4,15,6,11,0,4,1,39,0,65,106458,7,5229,1,17
8,9,2,12,0,4,1,39,0,28,194691,10,53,1,46
0,15,4,3,1,4,1,39,0,28,44487,10,26,0,16
6,6,3,14,3,4,1,39,0,52,35425,5,44,1,48
2,9,2,8,1,4,1,39,0,51,36310,9,17,1,40
4,15,2,12,0,4,0,39,2,66,35668,10,5716,1756,40
4,15,2,3,3,4,1,8,3,42,109226,12,28,1,40
6,5,2,1,1,4,0,26,0,66,100331,10,11786,1,40
4,12,2,13,0,4,1,39,0,66,170720,10,9,1,40
4,1,4,12,1,4,0,39,1,28,203306,13,64,1788,40
4,1,2,4,0,4,1,39,1,40,94875,10,32,1,48
