age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country,income,education-num,education
37,121812,10,4,31,2,0,8,3,4,0,40,1,13,9
20,183852,13,6,12,4,4,8,0,1,0,39,0,6,0
20,247694,26,5,45,5,4,13,0,4,0,11,1,4,5
30,184196,2,5,39,2,4,4,1,4,0,39,0,10,15
36,184123,4,4,39,4,4,2,1,4,0,39,0,13,9
45,183056,23,5,39,4,4,8,1,4,0,39,2,14,12
44,121312,15,5,46,4,4,10,1,4,1,39,3,10,15
37,245796,5101,4,39,4,5,2,1,4,1,39,2,12,7
30,338776,5288,4,44,4,4,12,3,4,1,39,0,9,11
21,181798,9,5,31,0,4,10,0,2,1,39,1,16,10
21,61414,5092,5,13,4,2,10,0,4,1,39,0,10,15
45,256606,1,1905,40,4,2,6,1,4,0,39,0,6,0
43,60674,14,5,45,4,3,11,3,4,1,39,1,9,11
30,186209,20,4,30,5,4,8,1,4,1,39,3,11,8
30,185042,9,1927,46,4,4,3,1,4,1,39,0,10,15
30,241727,81061,5,45,4,6,10,1,4,1,39,0,14,12
36,244738,87876,4,30,4,4,1,3,4,0,39,0,7,1
36,182323,5225,5,13,4,0,6,4,4,0,39,1,10,15
30,243443,5393,5,39,6,5,12,1,4,0,39,1,4,5
36,60089,16,6,39,4,4,7,1,2,1,39,2,14,12
45,251151,82173,1910,45,6,3,8,3,4,0,31,0,7,1
44,186746,3,6,47,0,0,3,3,4,0,39,0,13,9
45,345701,11472,5,39,4,0,1,2,4,0,39,1,13,9
30,115724,5420,5,39,2,4,8,1,4,0,39,0,14,12
44,58338,6,5,39,4,0,12,3,1,0,40,0,13,9
21,65714,5468,5,39,7,4,8,3,1,1,39,1,13,9
30,184375,86268,1959,44,2,4,7,3,0,0,39,0,10,15
45,60802,22,4,39,4,4,3,0,4,0,39,0,13,9
37,185980,1,5,44,2,2,5,4,4,0,6,1,10,15
36,185019,9,6,13,2,2,12,1,4,0,39,1,14,12
44,248735,12,7,39,2,4,6,1,4,1,39,1,9,11
30,181769,35,5,44,2,4,12,1,1,1,39,2,10,15
