workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
4,1,2,4,0,4,0,39,3,27,677398,9,0,0,39
4,7,6,11,0,2,1,39,2,56,323354,16,0,17,76
4,10,4,0,5,4,1,39,2,57,238216,9,0,22,46
6,10,4,10,4,4,0,39,0,41,135000,10,0,35,19
0,13,2,8,1,4,1,39,2,17,202493,9,114,21,37
0,9,2,9,5,4,1,39,2,21,169299,10,349,37,3
6,1,4,6,1,4,0,39,3,25,219014,12,805,0,37
0,14,4,4,1,2,1,39,0,38,132091,7,0,36,41
4,15,4,8,1,4,0,39,1,23,60840,14,875,45,49
0,11,4,8,0,1,1,39,0,59,199103,10,4307,35,54
1,9,0,1,3,2,0,39,0,17,185150,7,0,26,40
6,11,3,6,4,4,0,39,3,32,325736,14,160,28,37
2,15,2,4,1,4,1,39,0,72,281512,10,29,17,37
4,8,2,8,0,4,1,30,1,20,363305,13,389,14,58
0,15,4,8,1,1,1,39,1,31,230059,7,0,41,40
4,9,4,4,2,4,1,39,0,39,449215,10,0,31,38
4,7,4,0,2,4,1,39,2,45,564150,11,3858,0,38
4,11,0,12,1,4,1,39,3,38,172892,13,14307,24,39
7,9,4,0,1,4,1,39,0,17,319844,10,0,9,3
0,12,4,7,4,1,0,39,0,41,142988,5,0,33,40
4,15,4,0,4,4,1,39,0,20,241928,10,0,19,39
6,1,4,3,0,2,1,39,0,24,554633,10,0,10,40
4,11,4,5,0,1,1,39,0,23,276687,9,848,34,39
4,9,5,10,5,4,0,39,1,39,261300,7,0,14,48
4,15,0,1,3,4,1,39,0,17,350604,7,0,0,40
2,9,2,1,0,4,0,39,0,20,141633,10,5447,15,32
6,11,4,7,0,1,1,39,2,32,269034,5,543,0,44
4,8,2,10,3,4,1,39,1,65,256602,9,582,8,41
4,1,4,1,1,4,1,0,2,40,251553,9,0,44,13
0,15,2,7,5,4,1,39,0,29,196848,9,312,33,42
4,9,2,10,1,4,0,39,1,19,219385,9,1097,31,4
2,3,4,7,4,4,1,11,2,36,219767,9,64,37,38
4,7,0,12,1,4,0,26,0,48,248557,10,13680,15,38
4,9,0,1,1,4,1,39,1,33,201352,13,4322,16,54
4,0,2,10,4,4,0,39,0,56,292523,13,0,16,3
4,10,4,1,0,4,1,39,0,48,327602,13,0,37,40
4,10,0,10,3,4,1,39,0,25,316352,10,0,38,40
1,9,2,8,4,4,1,39,0,57,107033,10,751,2415,40
6,1,0,3,3,4,1,39,3,26,85566,9,193,31,39
2,10,4,8,0,2,1,39,0,26,173802,13,620,21,33
4,1,2,12,3,4,1,39,1,38,261650,10,375,33,28
4,8,0,1,1,4,0,39,2,76,498612,14,0,20,56
5,2,2,14,1,4,0,39,0,32,211955,9,7443,3,40
2,8,2,5,1,4,1,39,2,17,206137,9,618,37,17
4,0,4,4,1,4,0,39,1,25,301952,9,0,43,39
4,8,2,1,3,4,0,39,1,28,356942,9,0,33,19
2,15,5,12,4,4,1,39,0,17,266472,10,0,37,26
5,15,2,6,2,4,1,39,0,79,180285,10,0,44,39
4,8,3,10,4,4,1,30,1,33,177328,13,401,16,38
4,11,2,4,0,2,0,39,0,83,196820,9,0,39,40
4,15,4,1,1,4,1,39,0,53,162703,9,0,37,34
4,11,4,1,0,4,1,39,0,58,247296,10,0,0,24
6,11,2,8,1,4,1,0,2,17,335442,16,0,14,21
7,1,2,12,0,4,1,39,3,48,257633,10,0,13,41
4,11,2,1,3,4,1,39,0,37,635985,7,779,7,40
4,9,4,1,1,4,1,39,0,68,140953,11,0,34,28
4,15,4,3,1,2,1,39,2,68,230013,13,421,11,25
1,12,3,8,3,4,1,39,2,31,235591,15,499,35,39
4,9,0,7,4,1,1,39,0,30,476819,10,0,21,42
8,15,2,8,0,1,1,39,1,17,265502,9,0,1,16
4,14,4,3,1,4,1,39,1,34,279284,10,0,22,50
4,15,4,12,4,4,0,39,1,45,434872,5,0,29,39
4,15,5,10,4,1,1,39,0,44,285000,10,214,25,39
8,11,0,12,5,4,0,39,2,29,273215,9,0,35,16
6,8,2,8,4,4,1,39,1,31,236329,9,0,32,51
4,11,2,1,0,4,1,39,0,43,229463,9,0,18,34
7,11,2,4,4,4,1,39,3,44,20469,3,721,2415,40
6,15,0,8,0,4,0,39,0,28,229738,9,0,38,3
6,15,2,10,3,4,0,39,1,51,195328,11,478,31,39
5,10,4,12,2,4,1,39,0,26,230936,13,430,27,40
4,15,5,1,3,4,1,39,0,60,240227,13,318,8,3
4,13,4,0,3,1,1,36,0,51,249061,15,134,14,39
4,15,2,10,1,4,0,39,2,58,171984,11,0,31,42
4,11,2,5,0,2,1,39,3,69,285781,9,245,14,10
4,15,4,10,4,2,1,39,1,33,69516,13,916,21,40
7,6,2,4,2,4,1,39,0,42,180511,11,45,36,39
6,15,4,11,0,4,1,39,0,41,242151,9,0,37,39
6,7,4,4,4,4,1,0,2,38,69762,15,546,4,23
6,9,2,10,1,4,1,38,0,30,253247,9,614,30,39
4,14,0,3,1,4,0,39,1,17,567391,10,0,18,41
4,5,2,1,3,4,1,39,0,33,221065,9,0,40,42
1,15,4,4,1,4,0,39,1,40,225182,14,735,44,36
2,15,4,4,0,4,0,39,0,33,178137,16,10038,32,26
4,15,4,0,3,4,1,39,2,17,407192,9,0,8,40
4,11,4,1,2,4,1,40,0,41,126345,14,0,23,48
4,9,5,14,0,4,1,39,1,39,284670,9,0,31,3
6,9,0,7,4,4,0,39,0,17,349147,12,82345,0,39
4,6,2,10,4,4,0,39,1,60,185287,14,23,38,27
4,15,0,6,5,4,0,26,0,49,20469,8,0,35,39
0,9,4,4,0,4,1,39,3,81,138833,13,0,40,46
4,1,2,1,1,4,1,4,0,18,273697,9,0,35,39
4,5,5,5,2,1,1,39,0,62,210676,13,0,35,38
4,15,6,0,0,4,1,39,1,20,269362,4,0,23,39
4,9,3,14,4,4,0,39,1,24,218098,3,166,3,38
2,15,2,12,4,4,1,39,1,46,39193,13,0,39,41
4,11,0,4,1,4,1,39,2,48,256241,13,0,28,40
2,9,4,8,1,4,0,39,0,64,313507,10,562,0,13
2,9,0,7,1,4,1,39,1,18,46552,10,0,8,40
2,12,4,8,3,2,0,39,1,23,563470,10,510,19,47
4,9,2,11,0,1,1,33,0,53,239784,9,0,28,39
7,15,4,8,0,2,0,39,0,26,157223,9,0,33,38
4,15,4,10,1,4,1,39,0,41,315985,12,0,0,38
4,9,2,10,3,4,1,39,0,55,249545,6,152,0,53
1,12,2,4,0,4,1,12,0,17,166935,13,340,16,28
4,9,2,8,3,1,0,39,3,27,189799,13,765,26,23
1,9,0,8,2,1,1,39,0,39,218961,10,84,29,40
5,15,0,0,0,1,1,39,0,31,158155,15,691,33,45
2,9,4,4,0,4,1,39,0,31,210125,11,7096,5,9
4,11,4,3,0,4,1,39,0,64,159008,13,0,17,40
4,1,0,5,1,4,1,39,0,51,234852,2,458,0,23
5,11,4,12,0,4,1,39,1,21,150527,13,393,0,40
4,9,4,12,3,4,0,39,0,17,180587,9,0,29,38
4,9,2,3,1,2,0,39,2,35,111711,3,333,44,19
6,11,0,13,3,4,1,39,3,33,168437,13,0,31,9
4,15,4,5,0,4,1,39,0,63,256008,13,0,18,40
4,1,2,8,0,4,0,39,0,34,201816,9,494,27,40
4,6,6,14,1,4,0,39,0,34,194346,10,0,11,41
6,9,2,6,0,4,0,39,1,27,182074,6,626,27,55
4,7,2,13,3,4,1,39,3,34,257605,9,239,32,48
4,15,2,3,1,4,0,39,0,20,210589,10,269,0,38
4,4,2,7,1,4,1,39,1,24,190237,10,39,8,39
4,9,2,14,2,2,1,39,0,31,121274,9,711,29,39
5,7,4,8,3,4,1,39,2,47,135571,13,0,26,11
6,11,0,4,3,4,1,39,0,30,196268,9,0,38,54
0,15,6,10,0,2,1,33,3,70,210730,13,451,35,39
0,0,4,12,1,4,1,39,2,58,260422,13,0,21,48
0,11,0,5,3,4,0,39,0,31,331460,13,230,0,38
4,9,2,3,0,1,0,39,0,31,236377,9,252,30,38
4,2,5,3,0,1,1,39,0,39,545152,10,0,0,39
4,11,2,1,4,4,0,39,1,60,216863,13,633,33,40
2,15,2,7,3,4,0,39,0,37,229324,10,0,37,28
2,10,0,5,0,4,1,39,1,26,418238,6,723,24,51
6,15,2,8,3,4,0,39,1,23,151438,10,0,31,40
4,9,4,3,0,1,1,39,3,65,271620,9,11518,3,39
6,11,0,3,0,4,0,39,0,38,230341,16,0,1,3
4,9,0,8,1,4,1,37,0,38,258188,7,0,11,14
4,15,2,6,0,4,0,39,1,18,373206,7,569,4,45
4,5,4,8,4,4,1,39,0,17,339032,9,0,19,40
4,12,2,8,0,4,1,39,3,38,191514,7,146,2415,33
5,12,4,4,1,3,1,39,0,65,248589,13,574,37,14
2,15,2,8,0,4,1,39,3,24,640317,9,0,39,38
4,11,2,1,4,4,1,39,0,41,677398,15,238,18,31
0,9,4,1,4,4,1,39,0,24,128628,11,352,42,39
4,11,0,10,3,4,1,39,2,17,128995,9,8024,31,28
4,4,0,10,5,4,0,39,3,30,501710,6,785,21,39
4,8,2,4,4,4,1,39,3,38,213396,9,715,38,46
0,15,2,3,0,1,1,39,0,25,207202,13,0,0,41
0,10,4,10,2,2,1,3,0,34,424790,10,6028,30,25
6,15,0,13,3,4,0,39,0,54,20469,9,0,35,39
4,8,4,5,3,4,0,39,1,39,677398,9,0,0,42
0,15,2,8,2,1,1,39,2,29,240741,4,0,18,40
6,9,2,12,3,4,1,34,0,26,160955,9,584,30,39
6,15,0,8,1,4,1,3,3,44,148520,9,411,19,50
0,15,4,11,0,2,1,39,0,23,107871,10,0,39,54
2,9,4,11,1,4,1,39,2,46,150834,10,0,26,22
4,12,4,12,1,4,1,39,1,78,260096,5,3,22,39
2,11,2,3,2,4,1,3,2,21,317917,9,697,12,49
4,1,3,8,1,4,1,39,1,37,182827,9,0,28,39
4,15,0,8,0,4,0,39,1,17,170687,9,9675,8,3
2,1,2,4,3,4,0,39,0,44,386436,12,658,21,42
4,5,0,8,4,2,1,39,0,23,246413,7,0,32,38
7,10,2,3,3,4,0,33,0,34,140014,13,0,33,15
6,11,4,6,3,4,1,11,1,59,212498,6,675,37,17
6,15,2,10,0,4,1,36,0,61,274823,10,727,12,27
0,11,0,14,0,4,1,39,0,65,248007,13,633,12,42
1,11,0,12,4,1,0,39,1,43,184618,11,512,15,39
4,10,0,6,0,4,0,39,0,48,197227,13,336,26,39
6,7,6,11,0,4,1,39,2,33,229172,14,0,0,39
4,9,2,8,0,2,1,39,0,21,556866,10,233,0,37
2,5,2,6,3,4,1,10,0,31,286925,14,338,16,42
5,0,4,8,0,4,1,39,0,90,435692,2,293,23,24
4,15,4,11,0,4,0,39,2,22,214519,16,0,16,43
6,11,0,5,4,4,1,39,0,35,269165,9,713,0,39
4,8,4,8,0,4,1,39,0,24,250628,9,532,8,48
1,9,4,8,1,4,0,39,1,22,327636,12,0,21,38
2,8,2,7,1,4,1,39,0,30,296539,10,279,34,39
2,0,2,8,5,4,1,39,0,35,163123,9,59,16,41
4,4,2,0,1,4,0,39,0,50,192925,9,3801,12,7
4,9,0,7,1,4,0,39,0,28,201711,14,108,0,38
0,1,2,8,4,4,0,39,1,34,268372,9,515,2415,39
6,1,4,3,1,4,1,39,2,51,156195,10,329,32,50
4,11,2,12,0,4,1,39,2,17,26008,7,0,25,41
4,11,4,13,3,4,1,30,0,37,150748,13,0,41,32
0,3,0,10,3,4,0,39,2,32,106812,12,473,11,39
2,1,4,3,0,4,1,39,3,32,77469,9,0,33,39
4,10,4,12,2,4,1,39,2,42,175688,9,804,14,40
4,15,4,10,0,4,0,2,3,59,253239,15,8648,0,28
5,15,4,3,0,4,1,39,1,74,203296,11,0,22,39
4,8,4,8,3,4,1,39,0,46,197456,9,0,20,40
4,15,2,10,1,4,1,39,3,27,225157,9,0,23,56
4,12,2,10,0,4,0,39,1,48,259295,12,244,0,40
4,15,2,14,4,4,0,39,0,57,220232,10,0,29,47
4,11,4,10,3,1,1,26,0,19,542020,15,0,32,3
4,11,5,10,1,4,1,39,0,34,83588,10,573,38,26
4,15,2,7,0,4,0,39,0,38,20469,10,0,44,20
6,9,2,4,1,4,1,39,0,23,216923,9,0,0,50
4,11,0,10,1,4,1,39,0,44,240515,9,939,14,49
6,9,4,14,5,4,0,39,1,41,319077,9,0,39,39
5,11,2,3,1,4,0,6,3,31,275883,10,523,2,38
4,11,2,1,1,4,1,39,0,42,203309,9,757,10,43
4,11,0,4,1,4,1,39,0,47,327879,4,0,42,39
4,1,4,10,3,4,1,20,0,47,38268,9,644,17,40
4,11,4,12,1,4,0,39,2,18,197331,9,96,0,39
4,15,2,1,0,4,1,39,0,22,677398,12,7159,11,3
4,1,2,1,1,1,1,39,2,40,176295,13,594,2415,40
6,15,2,12,1,4,0,39,2,52,276004,5,0,26,38
4,12,4,11,2,4,1,39,0,27,215504,9,0,10,39
6,15,2,9,0,4,1,39,0,18,288208,3,0,38,39
4,11,4,10,4,0,1,39,0,77,259158,6,0,10,40
4,8,4,10,1,4,1,39,1,43,203506,12,533,30,25
2,8,2,1,4,4,1,39,2,50,198066,12,83,32,39
