age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country,income,education-num,education
74,281649,693,0,39,6,0,8,3,4,0,8,0,10,15
77,510465,0,0,40,4,4,1,1,4,0,39,1,11,8
36,252171,987,0,40,4,2,14,0,1,0,22,1,9,11
41,103434,0,0,43,6,2,7,1,4,0,39,0,9,11
42,449089,305,0,25,4,2,3,0,4,0,21,1,2,3
70,677398,0,0,39,4,5,10,0,4,0,39,0,4,5
35,492782,0,0,48,4,2,14,1,4,1,39,3,13,9
72,677398,0,0,39,4,4,8,1,4,0,39,1,10,15
50,237750,12,0,41,7,2,10,1,4,0,39,1,15,14
49,238544,57,0,45,4,2,1,3,4,1,39,0,10,15
54,278572,0,0,51,0,2,1,0,4,1,6,0,10,15
51,195290,353,0,38,6,2,1,5,1,1,39,3,6,0
53,391700,675,0,41,2,2,8,0,4,0,39,1,10,15
47,250569,940,1,40,6,2,10,0,4,0,0,1,7,1
49,482248,0,1230,40,4,2,3,2,4,0,39,2,9,11
78,151868,466,0,39,4,4,8,3,2,1,39,3,10,15
75,228273,0,6,39,4,2,10,1,4,0,39,0,5,6
40,239343,6290,0,40,7,4,1,1,4,1,39,0,15,14
54,677398,0,0,39,4,4,1,4,4,0,39,0,10,15
22,427921,16,0,28,4,2,0,1,4,0,39,0,10,15
32,272527,399,0,39,2,0,10,4,4,0,39,1,13,9
31,245477,0,9,41,4,6,4,0,4,0,39,0,9,11
33,207677,0,0,53,6,0,4,4,4,1,3,2,9,11
75,164720,109,0,39,4,4,4,5,4,1,39,2,10,15
70,448182,0,0,41,4,4,0,1,4,0,39,0,9,11
81,287214,0,8,80,4,4,0,5,1,1,39,0,14,12
34,344230,69472,0,77,4,2,7,5,4,1,39,0,11,8
29,226591,0,5,54,0,4,13,0,4,1,22,0,13,9
52,568428,0,0,3,4,2,10,4,4,0,39,1,15,14
51,474104,437,0,41,4,2,12,1,4,1,39,2,10,15
57,227278,730,0,41,4,0,8,4,4,0,39,1,10,15
43,240064,0,0,29,6,2,12,0,4,0,39,2,13,9
59,215108,0,12,48,2,6,13,4,4,0,39,0,13,9
47,343326,0,0,42,4,2,1,4,4,0,39,0,9,11
17,218109,259,0,39,4,4,0,2,2,0,39,1,9,11
33,263136,457,0,49,4,2,8,5,4,0,39,3,4,5
22,261980,0,0,40,4,4,3,1,4,1,39,0,5,6
42,548397,0,0,40,4,2,7,1,4,1,39,0,6,0
77,669176,193,3,99,4,4,3,0,4,1,14,0,10,15
60,203074,467,0,39,0,2,4,0,4,1,39,0,10,15
50,329636,338,0,73,4,2,3,4,4,0,39,1,9,11
64,332620,506,0,41,4,2,3,1,2,0,40,0,9,11
36,78092,4969,0,40,0,3,5,0,4,0,39,0,10,15
