workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
4.0,11.0,0.0,7.0,1.0,4.0,1.0,39.0,0.0,44.0,123384.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,25.0,109856.0,9.0,0.0,0.0,40.0
4.0,11.0,4.0,1.0,3.0,4.0,1.0,39.0,0.0,31.0,255004.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,29.0,272428.0,9.0,0.0,0.0,38.0
4.0,11.0,4.0,12.0,1.0,4.0,0.0,39.0,0.0,17.0,172375.0,9.0,0.0,0.0,15.0
4.0,7.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,56.0,369522.0,12.0,0.0,0.0,50.0
4.0,6.0,4.0,4.0,1.0,4.0,1.0,39.0,0.0,20.0,24393.0,5.0,0.0,0.0,15.0
4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,2.0,37.0,104973.0,13.0,0.0,0.0,40.0
4.0,11.0,0.0,4.0,1.0,4.0,1.0,39.0,0.0,27.0,173651.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,1.0,48.0,235722.0,9.0,0.0,0.0,40.0
4.0,15.0,2.0,10.0,5.0,4.0,0.0,39.0,0.0,26.0,70943.0,10.0,0.0,0.0,40.0
4.0,11.0,4.0,12.0,1.0,4.0,0.0,39.0,0.0,23.0,142924.0,9.0,0.0,0.0,15.0
4.0,9.0,4.0,10.0,1.0,4.0,0.0,39.0,0.0,58.0,52486.0,13.0,0.0,0.0,40.0
4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,2.0,54.0,226629.0,9.0,0.0,0.0,50.0
4.0,8.0,0.0,4.0,4.0,4.0,0.0,39.0,0.0,32.0,104849.0,11.0,0.0,0.0,40.0
4.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,0.0,45.0,54849.0,9.0,0.0,0.0,40.0
4.0,15.0,4.0,1.0,1.0,4.0,0.0,39.0,0.0,57.0,238872.0,10.0,0.0,0.0,50.0
6.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,2.0,47.0,169995.0,9.0,0.0,0.0,38.0
2.0,10.0,4.0,10.0,3.0,4.0,1.0,39.0,0.0,24.0,547882.0,16.0,0.0,0.0,56.0
4.0,9.0,2.0,10.0,0.0,4.0,1.0,39.0,0.0,38.0,446646.0,13.0,0.0,0.0,50.0
4.0,11.0,2.0,3.0,0.0,4.0,1.0,19.0,2.0,32.0,190784.0,9.0,0.0,0.0,35.0
0.0,9.0,2.0,0.0,5.0,4.0,0.0,39.0,0.0,46.0,166671.0,13.0,0.0,0.0,40.0
4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,34.0,118600.0,10.0,0.0,0.0,35.0
4.0,11.0,2.0,4.0,0.0,4.0,1.0,39.0,1.0,33.0,83392.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,2.0,48.0,127045.0,9.0,0.0,0.0,40.0
4.0,9.0,0.0,5.0,4.0,4.0,0.0,39.0,0.0,35.0,102318.0,13.0,0.0,0.0,40.0
4.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,1.0,22.0,206721.0,9.0,0.0,0.0,40.0
