age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country,income,education-num,education
31.0,172375.0,0.0,0.0,40.0,4.0,4.0,1.0,1.0,4.0,1.0,39.0,0.0,8.0,2
25.0,325923.0,0.0,0.0,55.0,4.0,2.0,3.0,0.0,4.0,1.0,39.0,1.0,7.0,1
62.0,36186.0,0.0,0.0,40.0,4.0,2.0,1.0,0.0,2.0,1.0,39.0,0.0,8.0,2
52.0,170984.0,0.0,0.0,40.0,4.0,2.0,7.0,0.0,4.0,1.0,39.0,2.0,9.0,11
42.0,224424.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
26.0,142076.0,0.0,0.0,40.0,4.0,4.0,3.0,1.0,4.0,0.0,39.0,1.0,9.0,11
29.0,604380.0,0.0,0.0,40.0,4.0,2.0,12.0,0.0,4.0,1.0,39.0,3.0,13.0,9
34.0,173651.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,12.0,7
39.0,173891.0,0.0,0.0,35.0,4.0,0.0,1.0,4.0,4.0,0.0,39.0,0.0,9.0,11
38.0,286689.0,0.0,0.0,40.0,4.0,5.0,12.0,1.0,4.0,0.0,39.0,0.0,9.0,11
25.0,226629.0,0.0,0.0,40.0,4.0,4.0,7.0,3.0,4.0,1.0,39.0,0.0,7.0,1
36.0,86750.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,3.0,7.0,1
29.0,173546.0,0.0,0.0,40.0,4.0,2.0,1.0,0.0,4.0,1.0,39.0,0.0,9.0,11
28.0,93518.0,0.0,0.0,40.0,4.0,4.0,1.0,1.0,1.0,0.0,39.0,0.0,13.0,9
42.0,174447.0,0.0,0.0,40.0,5.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,10.0,15
37.0,121040.0,0.0,0.0,40.0,4.0,0.0,8.0,1.0,4.0,1.0,39.0,0.0,5.0,6
36.0,166477.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,9.0,11
30.0,190784.0,0.0,0.0,60.0,4.0,2.0,11.0,0.0,4.0,1.0,19.0,1.0,10.0,15
36.0,163610.0,0.0,0.0,40.0,4.0,2.0,10.0,5.0,4.0,0.0,39.0,2.0,14.0,12
47.0,124771.0,0.0,0.0,38.0,4.0,2.0,3.0,0.0,4.0,1.0,39.0,1.0,15.0,14
49.0,159755.0,0.0,0.0,40.0,4.0,4.0,10.0,3.0,4.0,1.0,39.0,1.0,13.0,9
44.0,314871.0,0.0,0.0,40.0,4.0,2.0,7.0,0.0,4.0,1.0,39.0,0.0,10.0,15
45.0,102318.0,0.0,0.0,40.0,6.0,2.0,5.0,0.0,4.0,1.0,39.0,2.0,10.0,15
42.0,140516.0,0.0,0.0,40.0,4.0,2.0,12.0,0.0,4.0,1.0,39.0,2.0,13.0,9
33.0,97771.0,0.0,0.0,40.0,6.0,2.0,11.0,0.0,4.0,1.0,39.0,0.0,12.0,7
23.0,281237.0,0.0,0.0,35.0,5.0,6.0,4.0,4.0,4.0,0.0,39.0,0.0,9.0,11
33.0,595000.0,0.0,0.0,35.0,2.0,2.0,14.0,0.0,4.0,1.0,39.0,0.0,12.0,7
18.0,184948.0,0.0,0.0,40.0,4.0,4.0,7.0,3.0,2.0,0.0,39.0,0.0,11.0,8
65.0,52486.0,0.0,0.0,40.0,4.0,4.0,7.0,4.0,4.0,1.0,39.0,1.0,9.0,11
26.0,157984.0,0.0,0.0,40.0,4.0,4.0,14.0,1.0,4.0,0.0,39.0,1.0,9.0,11
