age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country,income,education-num,education
41,269124.16,0.0,0.0,22.376259,4.0,0.0,1.0,4.0,4.0,0.0,39.0,0.0,9.0,11
35,266409.22,0.0,0.0,34.58534,4.0,0.0,7.0,4.0,2.0,0.0,39.0,1.0,9.0,11
57,268832.06,0.0,0.0,12.704983,4.0,6.0,7.0,2.0,4.0,0.0,39.0,0.0,9.0,11
33,265204.0,0.0,0.0,40.0,4.0,0.0,7.0,4.0,2.0,0.0,39.0,1.0,9.0,11
73,267407.97,0.0,0.0,14.999999,4.0,6.0,12.0,2.0,4.0,0.0,39.0,0.0,9.0,11
25,121689.03,0.0,0.0,33.867332,4.0,4.0,10.0,1.0,4.0,0.0,39.0,0.0,10.0,15
22,121937.16,0.0,0.0,30.36964,4.0,4.0,1.0,3.0,4.0,0.0,39.0,1.0,10.0,15
25,122184.22,0.0,0.0,39.303154,4.0,4.0,7.0,3.0,4.0,0.0,39.0,0.0,13.0,9
21,122048.0,0.0,0.0,29.0,4.0,4.0,1.0,3.0,4.0,0.0,39.0,1.0,10.0,15
22,122271.99,0.0,0.0,34.999996,4.0,4.0,1.0,3.0,4.0,0.0,39.0,0.0,13.0,9
49,158250.08,0.0,0.0,30.290646,4.0,0.0,8.0,2.0,2.0,0.0,39.0,0.0,9.0,11
38,158904.22,0.0,0.0,37.06736,4.0,0.0,8.0,4.0,4.0,0.0,39.0,0.0,9.0,11
36,159313.19,0.0,0.0,39.426247,4.0,5.0,1.0,1.0,4.0,0.0,39.0,0.0,9.0,11
33,159303.0,0.0,0.0,40.0,4.0,0.0,8.0,4.0,4.0,0.0,39.0,0.0,9.0,11
30,159441.98,0.0,0.0,39.999996,4.0,5.0,1.0,1.0,4.0,0.0,39.0,0.0,9.0,11
46,132299.61,2350.9836,0.0,43.290146,4.0,0.0,13.0,4.0,4.0,1.0,39.0,1.0,10.0,15
26,132978.6,616.0493,0.0,31.700434,4.0,4.0,8.0,3.0,2.0,1.0,39.0,0.0,6.0,0
43,133581.34,2131.4963,0.0,40.0,4.0,4.0,8.0,3.0,4.0,1.0,39.0,1.0,10.0,15
17,133449.0,0.0,0.0,26.0,4.0,4.0,8.0,3.0,2.0,1.0,39.0,0.0,5.0,6
40,134025.98,0.0,0.0,39.999996,4.0,4.0,8.0,2.0,4.0,1.0,39.0,0.0,7.0,1
37,183513.45,0.0,0.0,43.74594,4.0,0.0,10.0,1.0,4.0,0.0,39.0,1.0,11.0,8
37,183291.02,0.0,0.0,40.828022,6.0,0.0,10.0,3.0,4.0,0.0,39.0,1.0,9.0,11
32,182843.78,0.0,0.0,44.303154,4.0,4.0,3.0,1.0,4.0,0.0,39.0,1.0,11.0,8
37,183127.0,0.0,0.0,40.0,6.0,0.0,12.0,3.0,4.0,0.0,39.0,1.0,9.0,11
31,182895.98,0.0,0.0,39.999996,4.0,4.0,3.0,1.0,4.0,0.0,39.0,0.0,9.0,11
24,388859.72,0.0,0.0,17.758896,4.0,4.0,12.0,3.0,4.0,1.0,39.0,0.0,7.0,1
21,382671.1,0.0,0.0,11.965437,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,9.0,11
23,395272.56,0.0,0.0,19.303154,4.0,4.0,12.0,3.0,4.0,0.0,39.0,0.0,7.0,1
20,379525.0,0.0,0.0,10.0,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
17,401197.97,0.0,0.0,14.999999,4.0,4.0,12.0,3.0,4.0,0.0,39.0,0.0,7.0,1
47,257565.45,0.0,729.88446,60.108307,4.0,2.0,8.0,0.0,4.0,1.0,39.0,2.0,11.0,8
53,257372.55,0.0,223.66202,46.530502,5.0,2.0,5.0,0.0,4.0,1.0,39.0,2.0,10.0,15
59,257695.2,0.0,0.0,38.36013,5.0,2.0,8.0,0.0,4.0,1.0,39.0,1.0,10.0,15
57,257200.0,0.0,0.0,40.0,5.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,10.0,15
65,258560.98,0.0,0.0,19.999998,4.0,2.0,8.0,0.0,4.0,1.0,39.0,0.0,13.0,9
29,132063.94,0.0,65.30611,34.006504,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,9.0,11
26,131517.86,0.0,0.0,38.675163,4.0,4.0,1.0,3.0,2.0,0.0,39.0,1.0,9.0,11
34,133409.94,0.0,1241.5471,33.114952,1.0,0.0,10.0,1.0,2.0,0.0,39.0,1.0,13.0,9
24,131220.0,0.0,0.0,40.0,4.0,4.0,1.0,3.0,2.0,0.0,39.0,1.0,9.0,11
40,134306.98,0.0,1740.9999,39.999996,1.0,0.0,10.0,1.0,2.0,0.0,39.0,1.0,13.0,9
22,71127.68,0.0,0.0,28.072634,4.0,4.0,8.0,3.0,1.0,0.0,39.0,0.0,10.0,15
22,72517.805,0.0,0.0,29.29444,4.0,4.0,8.0,1.0,4.0,0.0,39.0,1.0,10.0,15
25,68390.09,0.0,0.0,37.13123,4.0,4.0,8.0,3.0,2.0,1.0,39.0,0.0,10.0,15
23,72922.0,0.0,0.0,30.0,4.0,4.0,12.0,1.0,4.0,0.0,39.0,1.0,10.0,15
24,67803.99,0.0,0.0,39.999996,4.0,4.0,8.0,3.0,2.0,1.0,39.0,0.0,9.0,11
39,59408.008,0.0,0.0,43.147766,6.0,4.0,5.0,3.0,4.0,1.0,39.0,0.0,9.0,11
36,58690.355,0.0,0.0,51.433506,6.0,0.0,5.0,4.0,4.0,1.0,39.0,0.0,9.0,11
71,55224.047,0.0,0.0,15.048836,0.0,6.0,5.0,1.0,0.0,1.0,39.0,0.0,10.0,15
37,58343.0,0.0,0.0,56.0,6.0,0.0,5.0,4.0,4.0,1.0,39.0,0.0,9.0,11
82,52920.996,0.0,0.0,2.9999998,0.0,6.0,0.0,1.0,0.0,1.0,39.0,0.0,10.0,15
47,50712.07,0.0,923.11523,54.80252,4.0,2.0,10.0,0.0,4.0,1.0,39.0,1.0,10.0,15
39,48941.824,0.0,299.08176,44.895004,6.0,2.0,5.0,0.0,4.0,1.0,39.0,1.0,13.0,9
52,48274.703,0.0,499.16605,40.0,4.0,2.0,5.0,0.0,4.0,1.0,39.0,0.0,10.0,15
36,48160.0,0.0,0.0,40.0,6.0,2.0,4.0,0.0,4.0,1.0,39.0,1.0,13.0,9
53,47395.996,0.0,0.0,39.999996,4.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,9.0,11
26,154888.72,97.41526,0.0,34.243816,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
24,153995.42,0.0,0.0,38.2361,4.0,4.0,10.0,3.0,4.0,0.0,39.0,0.0,10.0,15
29,153764.1,1851.9803,0.0,40.0,4.0,4.0,12.0,3.0,4.0,1.0,39.0,1.0,9.0,11
24,153583.0,0.0,0.0,40.0,4.0,4.0,12.0,3.0,4.0,0.0,39.0,0.0,10.0,15
28,154235.98,2596.9998,0.0,39.999996,4.0,4.0,14.0,3.0,4.0,1.0,39.0,1.0,9.0,11
43,185871.97,0.0,0.0,36.613518,4.0,0.0,12.0,1.0,4.0,1.0,39.0,0.0,9.0,11
46,185036.39,0.0,0.0,23.034534,0.0,4.0,3.0,3.0,4.0,0.0,39.0,0.0,9.0,11
52,185281.36,0.0,0.0,47.13937,0.0,0.0,3.0,1.0,4.0,1.0,39.0,0.0,10.0,15
48,184682.0,0.0,0.0,18.0,0.0,4.0,0.0,3.0,4.0,0.0,39.0,0.0,9.0,11
59,184947.98,0.0,0.0,47.999996,0.0,0.0,0.0,1.0,4.0,1.0,39.0,0.0,11.0,8
30,95398.58,0.0,0.0,29.952147,4.0,4.0,10.0,3.0,4.0,0.0,39.0,0.0,10.0,15
21,95433.17,0.0,0.0,19.944424,4.0,4.0,8.0,3.0,4.0,1.0,39.0,0.0,9.0,11
32,96219.36,0.0,0.0,30.573753,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
17,95446.0,0.0,0.0,15.0,4.0,4.0,8.0,3.0,4.0,1.0,39.0,0.0,6.0,0
23,95988.99,0.0,0.0,29.999998,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
22,546446.94,0.0,0.0,38.35493,4.0,4.0,8.0,3.0,4.0,1.0,39.0,0.0,9.0,11
23,506291.84,0.0,0.0,39.31639,2.0,3.0,3.0,3.0,4.0,0.0,13.0,0.0,9.0,11
21,567646.75,0.0,0.0,40.0,4.0,4.0,8.0,2.0,4.0,1.0,26.0,0.0,5.0,6
23,496382.0,0.0,0.0,40.0,2.0,3.0,1.0,3.0,4.0,0.0,13.0,0.0,10.0,15
20,528615.94,0.0,0.0,39.999996,4.0,4.0,8.0,2.0,4.0,1.0,26.0,0.0,3.0,4
30,193090.02,0.0,0.0,38.768635,4.0,4.0,8.0,2.0,4.0,0.0,39.0,1.0,10.0,15
26,192569.64,0.0,0.0,39.959175,2.0,4.0,10.0,3.0,4.0,0.0,39.0,0.0,13.0,9
31,192515.66,0.0,0.0,24.303154,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
25,192321.0,0.0,0.0,40.0,2.0,4.0,10.0,3.0,4.0,0.0,39.0,0.0,13.0,9
29,192282.98,0.0,0.0,19.999998,4.0,4.0,8.0,2.0,4.0,0.0,39.0,0.0,10.0,15
45,98497.42,0.0,0.0,41.24865,5.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
45,98647.31,5039.1523,0.0,47.180843,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
35,97736.766,0.0,0.0,41.434383,4.0,2.0,10.0,0.0,4.0,1.0,39.0,2.0,13.0,9
46,98637.0,7298.0,0.0,50.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
34,97722.99,0.0,0.0,39.999996,4.0,2.0,10.0,0.0,4.0,1.0,39.0,2.0,13.0,9
43,109222.625,0.0,0.0,42.567493,4.0,2.0,10.0,0.0,4.0,1.0,39.0,0.0,10.0,15
47,109986.11,0.0,0.0,40.492325,1.0,2.0,13.0,0.0,4.0,1.0,39.0,2.0,10.0,15
44,109641.03,0.0,0.0,47.13123,4.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,13.0,9
49,110373.0,0.0,0.0,40.0,1.0,2.0,13.0,0.0,4.0,1.0,39.0,2.0,10.0,15
47,109420.99,0.0,0.0,49.999996,6.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,13.0,9
39,184760.25,0.0,724.12823,44.067345,5.0,2.0,11.0,0.0,4.0,1.0,39.0,3.0,12.0,7
48,185614.53,0.0,221.89813,52.283367,4.0,2.0,11.0,0.0,4.0,1.0,39.0,2.0,9.0,11
45,186167.4,0.0,0.0,41.442524,7.0,2.0,8.0,0.0,4.0,1.0,39.0,3.0,13.0,9
52,186117.0,0.0,0.0,56.0,2.0,2.0,11.0,0.0,4.0,1.0,39.0,2.0,9.0,11
48,185858.98,0.0,0.0,37.999996,7.0,2.0,4.0,0.0,4.0,1.0,39.0,3.0,13.0,9
23,166505.98,0.0,0.0,36.071026,4.0,4.0,7.0,2.0,4.0,1.0,39.0,0.0,10.0,15
25,167226.31,0.0,0.0,38.476162,4.0,4.0,4.0,3.0,4.0,0.0,39.0,0.0,13.0,9
27,165514.7,0.0,0.0,44.303154,4.0,4.0,4.0,2.0,1.0,0.0,37.0,0.0,13.0,9
27,167501.0,0.0,0.0,40.0,4.0,4.0,4.0,3.0,4.0,0.0,39.0,0.0,13.0,9
26,165234.98,0.0,0.0,39.999996,4.0,4.0,1.0,3.0,1.0,0.0,37.0,0.0,13.0,9
44,120078.67,0.0,0.0,38.45638,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,13.0,9
36,120329.13,0.0,0.0,46.31687,4.0,4.0,4.0,1.0,4.0,0.0,39.0,1.0,10.0,15
38,120080.14,0.0,0.0,47.13123,4.0,0.0,10.0,1.0,4.0,0.0,39.0,1.0,9.0,11
31,120461.0,0.0,0.0,50.0,4.0,4.0,4.0,1.0,4.0,0.0,39.0,1.0,10.0,15
45,119903.99,0.0,0.0,49.999996,4.0,0.0,13.0,1.0,4.0,0.0,39.0,2.0,9.0,11
51,105021.62,0.0,0.0,55.177628,4.0,0.0,12.0,1.0,4.0,1.0,39.0,0.0,9.0,11
62,103380.12,749.86566,0.0,41.44258,0.0,4.0,0.0,1.0,4.0,1.0,39.0,0.0,9.0,11
46,105206.27,0.0,0.0,47.13123,4.0,0.0,14.0,1.0,4.0,1.0,39.0,0.0,9.0,11
67,102693.0,1086.0,0.0,35.0,0.0,6.0,0.0,1.0,4.0,1.0,39.0,0.0,9.0,11
36,105137.99,0.0,0.0,49.999996,4.0,0.0,14.0,1.0,4.0,1.0,39.0,0.0,9.0,11
29,229654.17,0.0,0.0,38.751358,4.0,4.0,6.0,1.0,4.0,1.0,34.0,0.0,10.0,15
24,230037.97,0.0,0.0,39.72399,4.0,4.0,7.0,1.0,2.0,1.0,6.0,0.0,10.0,15
34,231520.56,0.0,0.0,38.565613,4.0,5.0,4.0,1.0,4.0,1.0,39.0,0.0,9.0,11
23,230315.0,0.0,0.0,40.0,4.0,4.0,8.0,1.0,1.0,1.0,6.0,0.0,10.0,15
30,232474.98,0.0,0.0,39.999996,4.0,5.0,3.0,1.0,4.0,1.0,39.0,0.0,9.0,11
46,153122.67,0.0,0.0,50.301777,5.0,2.0,7.0,0.0,4.0,1.0,39.0,0.0,9.0,11
