workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
4.0,11.0,6.0,1.0,4.0,4.0,0.0,39.0,1.0,26.0,123384.0,9.0,0.0,0.0,20.0
4.0,15.0,2.0,7.0,0.0,4.0,1.0,39.0,1.0,27.0,169544.0,10.0,0.0,0.0,50.0
4.0,11.0,0.0,7.0,4.0,4.0,0.0,39.0,0.0,34.0,340458.0,9.0,0.0,0.0,40.0
4.0,15.0,4.0,10.0,1.0,4.0,1.0,39.0,0.0,20.0,49179.0,10.0,0.0,0.0,35.0
6.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,2.0,32.0,410615.0,9.0,0.0,1887.0,60.0
4.0,15.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,19.0,39756.0,10.0,0.0,0.0,15.0
0.0,11.0,4.0,0.0,3.0,4.0,1.0,39.0,0.0,30.0,361817.0,9.0,0.0,0.0,25.0
4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,1.0,29.0,168221.0,9.0,0.0,0.0,40.0
4.0,9.0,4.0,4.0,1.0,4.0,1.0,39.0,0.0,25.0,321205.0,13.0,4101.0,0.0,35.0
4.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,2.0,59.0,195820.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,2.0,50.0,168539.0,9.0,0.0,0.0,40.0
4.0,2.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,24.0,177287.0,8.0,0.0,0.0,38.0
4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,37.0,147258.0,10.0,0.0,0.0,55.0
4.0,15.0,4.0,12.0,1.0,4.0,1.0,39.0,1.0,27.0,240172.0,10.0,0.0,0.0,40.0
4.0,15.0,2.0,12.0,0.0,4.0,1.0,39.0,0.0,31.0,127215.0,10.0,0.0,0.0,40.0
4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,55.0,414994.0,9.0,0.0,0.0,40.0
4.0,12.0,2.0,10.0,0.0,4.0,1.0,39.0,1.0,39.0,370032.0,14.0,0.0,0.0,45.0
4.0,11.0,4.0,6.0,3.0,2.0,1.0,39.0,0.0,25.0,324372.0,9.0,0.0,0.0,40.0
2.0,9.0,0.0,15.0,4.0,4.0,0.0,39.0,0.0,57.0,143910.0,13.0,0.0,0.0,40.0
4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,2.0,62.0,664366.0,13.0,0.0,0.0,60.0
2.0,5.0,6.0,3.0,1.0,2.0,1.0,39.0,1.0,57.0,214323.0,4.0,0.0,0.0,40.0
4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,0.0,58.0,190747.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,2.0,33.0,184901.0,9.0,0.0,0.0,40.0
4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,1.0,33.0,198613.0,9.0,0.0,0.0,40.0
7.0,11.0,4.0,11.0,3.0,4.0,1.0,39.0,0.0,27.0,192257.0,9.0,2174.0,0.0,40.0
4.0,15.0,2.0,1.0,5.0,4.0,0.0,39.0,2.0,49.0,255559.0,10.0,0.0,0.0,40.0
4.0,11.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,53.0,88842.0,9.0,99999.0,0.0,40.0
4.0,12.0,4.0,10.0,1.0,1.0,0.0,3.0,1.0,37.0,88215.0,14.0,0.0,0.0,40.0
2.0,15.0,2.0,11.0,0.0,4.0,1.0,39.0,0.0,33.0,152351.0,10.0,3908.0,0.0,40.0
4.0,15.0,0.0,1.0,1.0,4.0,0.0,39.0,1.0,58.0,32954.0,10.0,0.0,0.0,40.0
2.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,0.0,53.0,135102.0,9.0,0.0,2002.0,45.0
6.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,1.0,64.0,21174.0,9.0,0.0,0.0,20.0
