age,fnlwgt,capital-gain,capital-loss,hours-per-week,workclass,marital-status,occupation,relationship,race,sex,native-country,income,education-num,education
25.0,192273.0,0.0,0.0,40.0,4.0,2.0,10.0,0.0,4.0,1.0,39.0,0.0,13.0,9
37.0,348960.0,0.0,0.0,50.0,6.0,2.0,14.0,0.0,4.0,1.0,39.0,2.0,12.0,7
27.0,116613.0,0.0,0.0,50.0,6.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,10.0,15
28.0,122913.0,0.0,0.0,40.0,4.0,2.0,12.0,0.0,4.0,1.0,39.0,3.0,9.0,11
43.0,131650.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,3.0,10.0,15
17.0,331552.0,0.0,0.0,30.0,4.0,4.0,1.0,3.0,4.0,0.0,39.0,0.0,8.0,2
62.0,114060.0,0.0,0.0,40.0,2.0,2.0,14.0,0.0,4.0,1.0,39.0,0.0,9.0,11
36.0,263574.0,0.0,0.0,40.0,4.0,2.0,1.0,5.0,4.0,0.0,39.0,1.0,11.0,8
44.0,104440.0,0.0,0.0,40.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
37.0,186934.0,0.0,0.0,50.0,4.0,2.0,12.0,0.0,4.0,1.0,39.0,3.0,14.0,12
23.0,133712.0,0.0,0.0,45.0,4.0,4.0,8.0,2.0,4.0,0.0,39.0,1.0,9.0,11
40.0,219869.0,99999.0,0.0,75.0,4.0,2.0,5.0,0.0,4.0,1.0,39.0,3.0,9.0,11
23.0,162282.0,0.0,0.0,40.0,4.0,4.0,7.0,3.0,4.0,1.0,39.0,1.0,9.0,11
31.0,595000.0,0.0,0.0,35.0,4.0,4.0,6.0,2.0,2.0,0.0,39.0,0.0,9.0,11
32.0,251612.0,0.0,0.0,45.0,0.0,4.0,0.0,4.0,4.0,0.0,26.0,0.0,3.0,4
23.0,121650.0,0.0,0.0,30.0,4.0,4.0,6.0,4.0,4.0,1.0,39.0,0.0,3.0,4
24.0,236696.0,0.0,0.0,35.0,4.0,2.0,6.0,3.0,4.0,1.0,39.0,0.0,9.0,11
47.0,178013.0,0.0,0.0,20.0,0.0,2.0,0.0,5.0,4.0,0.0,5.0,0.0,6.0,0
37.0,193855.0,0.0,1902.0,50.0,4.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,9.0,11
52.0,175714.0,0.0,0.0,55.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,12.0,7
38.0,185330.0,0.0,0.0,25.0,4.0,4.0,3.0,3.0,4.0,0.0,39.0,0.0,10.0,15
22.0,212780.0,0.0,0.0,30.0,4.0,4.0,12.0,1.0,2.0,0.0,39.0,1.0,9.0,11
60.0,137344.0,0.0,0.0,40.0,4.0,2.0,12.0,0.0,4.0,1.0,39.0,1.0,10.0,15
36.0,312206.0,0.0,0.0,40.0,4.0,2.0,7.0,0.0,4.0,1.0,39.0,0.0,9.0,11
55.0,73684.0,15024.0,0.0,65.0,6.0,2.0,12.0,0.0,4.0,1.0,39.0,3.0,13.0,9
24.0,205844.0,0.0,0.0,65.0,4.0,4.0,4.0,3.0,2.0,0.0,39.0,0.0,13.0,9
43.0,334946.0,0.0,0.0,40.0,4.0,2.0,6.0,0.0,2.0,1.0,39.0,0.0,9.0,11
41.0,352056.0,0.0,0.0,40.0,2.0,4.0,4.0,1.0,4.0,1.0,39.0,0.0,12.0,7
76.0,98695.0,0.0,0.0,20.0,4.0,0.0,1.0,1.0,4.0,0.0,39.0,0.0,10.0,15
46.0,199596.0,0.0,0.0,50.0,6.0,0.0,4.0,4.0,4.0,0.0,39.0,0.0,10.0,15
32.0,195000.0,7298.0,0.0,45.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
58.0,280519.0,0.0,0.0,40.0,7.0,0.0,8.0,3.0,2.0,1.0,39.0,0.0,9.0,11
48.0,131309.0,0.0,0.0,45.0,4.0,2.0,10.0,0.0,4.0,1.0,39.0,2.0,14.0,12
61.0,111415.0,0.0,0.0,45.0,4.0,2.0,4.0,0.0,4.0,1.0,39.0,2.0,13.0,9
45.0,387074.0,0.0,0.0,40.0,4.0,2.0,3.0,0.0,4.0,1.0,39.0,0.0,11.0,8
52.0,173839.0,0.0,0.0,60.0,6.0,2.0,4.0,0.0,4.0,1.0,39.0,0.0,6.0,0
33.0,152591.0,0.0,0.0,40.0,4.0,0.0,4.0,3.0,4.0,0.0,39.0,1.0,10.0,15
28.0,407043.0,0.0,0.0,40.0,4.0,2.0,1.0,0.0,2.0,1.0,39.0,0.0,9.0,11
30.0,270886.0,0.0,0.0,40.0,4.0,4.0,8.0,3.0,4.0,0.0,39.0,0.0,10.0,15
36.0,108293.0,0.0,0.0,24.0,4.0,6.0,8.0,4.0,4.0,0.0,39.0,0.0,9.0,11
28.0,92881.0,0.0,0.0,40.0,4.0,4.0,10.0,1.0,4.0,0.0,39.0,0.0,13.0,9
36.0,275338.0,0.0,0.0,40.0,4.0,2.0,4.0,5.0,4.0,0.0,39.0,3.0,13.0,9
30.0,488720.0,0.0,0.0,40.0,4.0,2.0,6.0,0.0,4.0,1.0,26.0,0.0,11.0,8
25.0,324372.0,0.0,0.0,40.0,4.0,4.0,6.0,3.0,2.0,1.0,39.0,0.0,9.0,11
42.0,60949.0,0.0,0.0,45.0,7.0,4.0,10.0,1.0,4.0,1.0,39.0,1.0,14.0,12
42.0,245317.0,0.0,0.0,50.0,4.0,2.0,14.0,0.0,4.0,1.0,39.0,0.0,6.0,0
27.0,169995.0,0.0,0.0,48.0,4.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,3.0,4
