workclass,education,marital-status,occupation,relationship,race,sex,native-country,income,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
4,11,4,8,3,4,1,39,0,21,109736,9,77,0,18
4,15,2,3,0,4,1,39,0,38,113191,10,99,3,40
4,15,2,10,1,4,1,39,0,41,69638,10,0,2,39
4,15,2,4,0,4,1,39,0,30,126305,10,0,1,40
4,11,2,3,0,4,1,39,0,27,309397,10,0,0,40
4,11,0,1,1,4,1,39,0,54,56169,9,0,0,39
4,15,4,1,1,4,0,39,0,32,182061,10,16,1,40
4,11,2,3,0,4,1,39,0,47,66443,9,47,2,41
4,11,2,3,0,4,1,39,0,47,42133,9,92,0,40
4,11,4,8,1,4,0,39,0,24,62644,9,0,0,39
4,9,2,4,0,4,1,39,0,29,55640,13,0,0,40
4,15,4,1,1,4,0,39,0,46,69747,10,0,0,39
4,8,2,8,1,4,1,39,0,31,176985,11,0,0,40
4,15,4,12,3,4,1,39,0,19,118203,10,142,0,40
4,0,4,10,1,4,1,39,0,27,34686,9,40,3,41
4,15,2,3,0,4,1,39,0,37,95372,10,17,1,40
4,15,2,3,0,4,1,39,0,18,29106,10,0,0,40
4,15,2,4,0,4,1,39,0,37,89902,10,0,0,40
4,9,0,10,4,4,0,39,0,36,168961,13,0,0,40
4,11,4,8,1,4,0,39,0,23,86467,9,16,2,40
4,15,2,3,0,4,1,39,0,42,34294,10,0,0,40
4,15,4,12,3,4,1,39,0,17,100331,10,0,0,40
4,9,2,10,1,4,1,39,2,64,42867,14,179,0,40
4,11,4,7,3,4,1,39,0,33,97589,9,0,1,40
4,9,2,4,0,4,1,39,2,25,134630,13,45,1,41
4,15,2,12,0,4,1,39,0,23,36986,10,48,1,40
4,15,2,4,0,4,1,39,0,42,163947,10,0,0,40
4,15,2,3,0,4,1,39,0,52,118217,10,0,2,39
4,11,0,1,1,4,1,39,0,26,60050,9,81,1,41
4,11,4,3,1,4,1,39,0,19,84561,9,0,1,40
4,15,2,12,0,4,1,39,0,27,100742,10,120,0,40
4,11,4,1,1,4,0,39,0,23,55351,9,56,0,40
4,9,4,10,1,4,1,39,0,20,90320,13,75,1,40
4,9,2,10,0,4,1,39,0,25,139220,13,0,0,40
4,15,4,8,1,4,1,39,0,17,129973,10,0,3,39
4,11,4,8,1,4,0,39,0,36,101645,9,46,0,40
4,11,4,8,1,4,0,39,0,24,92103,9,15,0,40
4,11,4,8,1,4,1,39,0,21,90571,9,35,4,40
4,15,2,3,0,4,1,39,0,35,62787,10,0,1,40
4,15,2,10,0,4,1,39,0,24,70473,10,0,1,40
4,11,4,8,1,4,1,39,0,34,219371,9,99,0,39
4,11,4,3,1,4,1,39,0,17,62848,9,0,0,39
4,15,4,1,1,4,0,39,0,22,121478,10,0,0,39
4,11,2,3,0,4,1,39,0,41,192960,9,52,2,41
4,11,2,3,1,4,1,39,0,28,113572,9,65,0,40
4,15,4,1,1,4,1,39,0,32,20469,10,74,0,39
4,11,2,3,0,4,1,39,0,35,99788,9,61,0,40
4,11,0,1,1,4,1,39,0,33,73017,9,0,1,40
4,9,2,4,0,4,1,39,2,45,54241,13,81,0,40
4,11,2,3,0,4,1,39,0,47,63128,9,110,0,40
4,11,2,3,0,4,1,39,0,24,151403,9,0,0,40
4,15,2,12,0,4,1,39,0,35,58313,10,0,0,39
4,15,2,12,0,4,1,39,0,23,20469,10,79,0,40
4,11,4,8,1,4,1,39,0,23,65209,9,0,0,40
4,9,2,10,0,4,1,39,2,38,71013,13,36,2,39
4,11,4,8,3,4,1,39,0,32,260130,9,48,1,39
4,9,4,10,1,4,0,39,0,23,122424,13,0,1,40
4,15,0,1,1,4,0,39,0,47,36198,10,0,2,39
4,15,2,4,1,4,1,39,0,26,92997,10,0,2,40
4,15,2,10,0,4,1,39,0,46,154849,10,0,0,40
4,8,4,10,1,4,1,39,0,35,92050,11,0,0,39
4,8,0,10,1,4,0,39,0,50,177769,11,70,0,40
4,11,2,3,0,4,1,39,0,40,50902,9,35,3,41
